Eesnimi;Perenimi;Sugu;Sünniaeg;Surnud;Asula;Tüüp;Maakond
Victor;Jakobson;M;1960-07-08;0000-00-00;Juula;küla;Raplamaa
Evely;Klimov;N;2002-06-17;0000-00-00;Väiko-Härmä;küla;Võrumaa
Nikolay;Baskin;M;1942-06-27;0000-00-00;Supa;küla;Valgamaa
Rain;Rohtla;M;1934-12-24;1992-06-19;;;
Maris;Herodes;N;1944-03-24;0000-00-00;Unametsa;küla;Viljandimaa
Kregor;Kasak;M;1970-01-13;0000-00-00;Rauskapalu;küla;Võrumaa
Norman;Madisson;M;1984-02-26;2004-08-22;;;
Lisa;Tõnisson;N;1921-09-28;0000-00-00;Varstu;alevik;Võrumaa
Kerttu;Käär;N;1916-09-20;1983-03-28;;;
Matti;Raudsepp;M;1988-05-07;2016-11-15;;;
Keio;Tuulik;M;1922-10-13;1924-05-19;;;
Janno;Kulikov;M;1917-06-04;1936-01-06;;;
Joonas;Kass;M;1940-02-27;0000-00-00;Ellamaa;küla;Harjumaa
Adrian;Hoffmann;M;1951-03-16;1963-06-06;;;
Jaan;Järv;M;1973-09-29;0000-00-00;Lähkma;küla;Pärnumaa
Keijo;Kivi;M;1908-04-16;1943-03-02;;;
Timofei;Uus;M;1999-11-18;0000-00-00;Kalme;küla;Jõgevamaa
Simmo;Luht;M;1911-01-21;2001-11-20;;;
Rait;Lumi;M;1912-02-15;0000-00-00;Kalvre;küla;Viljandimaa
Aimar;Roos;M;1966-06-22;0000-00-00;Uueveski;küla;Harjumaa
Heleriin;Raud;N;1905-10-14;0000-00-00;Savala;küla;Ida-Virumaa
Danil;Siim;M;1925-07-15;0000-00-00;Kohala;küla;Lääne-Virumaa
Janno;Lepik;M;2017-01-01;2018-04-13;;;
Jan Markus;Mandel;M;2016-04-13;0000-00-00;Uusküla;küla;Lääne-Virumaa
Markos;Pärnpuu;M;1928-08-09;0000-00-00;Taari;küla;Viljandimaa
Auli;Põld;N;1998-09-30;0000-00-00;Korgõmõisa;küla;Põlvamaa
Enri;Raja;M;1913-01-12;1925-03-28;;;
Kaimar;Kolberg;M;1935-04-29;0000-00-00;Kossa;küla;Võrumaa
Arina;Miller;N;1970-11-22;1971-01-23;;;
Keily;Väli;N;1984-12-23;2011-12-09;;;
Koit;Kiil;M;1918-11-29;1975-09-20;;;
Ken;Danilov;M;1925-04-03;0000-00-00;Kudani;küla;Läänemaa
Ene;Friedman;N;1922-01-03;1964-04-16;;;
Saamuel;Green;M;1929-07-17;0000-00-00;Vaarkali;küla;Võrumaa
Rainis;Taal;M;1979-08-06;0000-00-00;Pikareinu;küla;Põlvamaa
Karoli;Raud;N;1988-09-28;0000-00-00;Pringi;küla;Valgamaa
Maire;Konovalov;N;1965-01-22;2010-04-29;;;
Saara;Kõiv;N;1983-03-29;1995-06-03;;;
Oskar;Alekseev;M;2013-04-06;0000-00-00;Väljaküla;küla;Valgamaa
Julius;Reinke;M;1977-03-03;2019-11-30;;;
Tristan;Kaur;M;1953-12-15;0000-00-00;Sika;küla;Võrumaa
Ako;Bondarenko;M;1973-09-09;0000-00-00;Võle;küla;Lääne-Virumaa
Emil;Nõmm;M;1986-08-30;0000-00-00;Puise;küla;Läänemaa
Liisa Maria;Raud;N;1939-03-25;2000-06-02;;;
Hanna-Maria;Lääne;N;1921-01-09;0000-00-00;Sääre;küla;Saaremaa
Edgar;Žukov;M;1950-06-17;0000-00-00;Ammuta;küla;Läänemaa
Hedi;Käärik;N;2006-08-05;2011-11-19;;;
Krislin;Mõttus;N;1940-01-14;2002-02-23;;;
Imre;Tilk;M;2013-07-05;2019-11-25;;;
Marko;Valge;M;1922-04-16;1983-10-22;;;
Jevgeni;Green;M;1944-06-27;0000-00-00;Põrsaku;küla;Raplamaa
Liisi;Nuut;N;1970-01-11;1989-03-17;;;
Ketter;Rätsep;N;1983-11-15;0000-00-00;Lähtse;küla;Harjumaa
Ellen;Pärtel;N;1920-11-28;0000-00-00;Kaunispe;küla;Saaremaa
Germo;Allik;M;1930-12-27;2006-09-04;;;
Johan;Treial;M;1959-01-07;1990-12-13;;;
Alvar;Toots;M;1969-05-31;0000-00-00;Tamba;küla;Pärnumaa
Sylvia;Järv;N;1927-02-12;0000-00-00;Vaskrääma;küla;Pärnumaa
Enn;Tamberg;M;1967-07-19;2005-05-14;;;
Anne-Mai;Karu;N;1932-08-28;1936-02-26;;;
Renet;Saare;M;1999-10-18;2006-06-21;;;
Nelli;Ojaste;N;2013-07-22;2017-03-23;;;
Lotta;Mann;N;1982-02-07;1992-03-09;;;
Heiko;Kool;M;1997-11-04;0000-00-00;Viisu;küla;Järvamaa
Mirell;Holm;N;1991-07-23;2004-09-26;;;
Sten;Korol;M;1996-11-13;0000-00-00;Holvandi;küla;Põlvamaa
Daniela;Lauri;N;1919-10-29;1981-05-15;;;
Renee;Sobolev;M;1957-09-25;2013-10-17;;;
Denis;Veski;M;2008-01-28;0000-00-00;Lehtma;küla;Hiiumaa
Lily;Aun;N;1950-02-12;1951-12-10;;;
Cevin;Raud;M;1963-09-21;1966-01-17;;;
Darina;Poom;N;2013-02-14;0000-00-00;Ulaskova;küla;Võrumaa
Deniss;Rebane;M;2008-02-16;0000-00-00;Aindu;küla;Viljandimaa
Laura-Liis;Aasa;N;1926-09-15;0000-00-00;Villa;küla;Viljandimaa
Roberta;Tamm;N;1994-05-31;2016-12-11;;;
Karol;Martinson;M;1989-11-19;2019-04-27;;;
Geidi;Fomin;N;1953-11-09;1999-08-27;;;
Karl Martin;Sillaste;M;1967-08-11;0000-00-00;Austla;küla;Saaremaa
Ralf;Romanov;M;1901-09-02;0000-00-00;Laatre;küla;Viljandimaa
Johanna Maria;Kisseljov;N;1969-08-11;1975-11-30;;;
Kaie;Aus;N;1998-10-09;0000-00-00;Penuja;küla;Viljandimaa
Egle;Pukk;N;1925-02-16;0000-00-00;Kalana;küla;Hiiumaa
Edvard;Mändla;M;1902-08-02;1943-09-18;;;
Andry;Veski;M;1914-03-09;1969-07-14;;;
Fjodor;Pärnpuu;M;1925-07-21;1965-06-05;;;
Brittany;Friedman;N;1942-03-26;0000-00-00;Lehemetsa;küla;Võrumaa
Nils;Semenov;M;1970-03-07;0000-00-00;Kuksina;küla;Võrumaa
Geili;Oras;N;1962-05-28;0000-00-00;Lepna;alevik;Lääne-Virumaa
Mari-Ann;Maasik;N;1991-03-28;2002-03-21;;;
Cristopher;Tõnisson;M;1922-02-13;0000-00-00;Kudjape;alevik;Saaremaa
Eva;Salumets;N;2014-06-22;0000-00-00;Soolu;küla;Läänemaa
Adele;Paap;N;1928-10-27;1954-05-27;;;
Jan Markus;Gromov;M;1967-07-19;1982-03-12;;;
Carl;Lillemets;M;1965-01-22;0000-00-00;Kohtru;küla;Raplamaa
Sonja;Ernits;N;1985-04-11;2011-12-05;;;
Veniamin;Põld;M;1973-08-12;0000-00-00;Sepaste;küla;Hiiumaa
Karmel;Kukk;N;1972-01-03;0000-00-00;Rajaküla;küla;Lääne-Virumaa
Kait;Nikiforov;M;2002-08-03;2003-02-20;;;
Keily;Kesküla;N;1962-03-01;0000-00-00;Kantküla;küla;Lääne-Virumaa
Simon;Solovjov;M;1944-01-19;0000-00-00;Emmu;küla;Pärnumaa
Heidi;Õispuu;N;2001-03-26;2011-03-08;;;
Artem;Peterson;M;1936-09-03;0000-00-00;Kolila;küla;Läänemaa
Raili;Must;N;1996-10-08;2001-11-15;;;
Killu;Nuut;N;1981-06-11;0000-00-00;Raigastvere;küla;Jõgevamaa
Egle;Novikov;N;1914-12-01;1970-02-06;;;
Lotta;Krõlov;N;1943-11-12;2010-02-01;;;
Melani;Moor;N;1981-10-31;2006-12-06;;;
Anželika;Jõesaar;N;1936-07-05;1983-10-10;;;
Raiko;Pulk;M;1905-03-16;1977-04-28;;;
Hanna-Liina;Järve;N;1953-03-07;0000-00-00;Soolu;küla;Läänemaa
Kerdo;Vill;M;2013-03-23;2014-09-29;;;
Eleanora;Aus;N;2013-12-17;0000-00-00;Vana-Vinni;küla;Lääne-Virumaa
Reno;Gross;M;1946-01-12;0000-00-00;Rannaküla;küla;Saaremaa
Rando;Jänes;M;1953-04-12;1981-08-05;;;
Mirell;Lääne;N;1937-08-16;1994-06-13;;;
Anna Liisa;Saks;N;1904-11-17;0000-00-00;Pallika;küla;Raplamaa
Victoria;Luht;N;1983-11-28;2013-12-02;;;
Hans Erik;Tuisk;M;1918-06-02;0000-00-00;Lindora;küla;Võrumaa
Helle;Liivak;N;1950-05-04;1996-11-17;;;
Pille-Riin;Kelder;N;2014-09-20;2018-08-20;;;
Jarek;Lember;M;1971-05-18;2010-04-25;;;
Darja;Arula;N;1997-01-08;2018-05-29;;;
Nils;Kirillov;M;1969-11-06;0000-00-00;Moe;küla;Lääne-Virumaa
Britt;Juhkam;N;1912-08-24;0000-00-00;Kostiranna;küla;Harjumaa
Ellen;Tihhomirov;N;1985-10-09;2010-12-02;;;
Lisandra;Sillaots;N;1920-03-18;0000-00-00;Kullimaa;küla;Pärnumaa
Älis;Raadik;N;2018-08-17;0000-00-00;Horoski;küla;Võrumaa
Andrus;Kask;M;2000-04-24;2013-10-16;;;
Anette;Reimann;N;1952-04-20;1955-10-23;;;
Marje;Piirsalu;N;1996-03-02;2016-08-27;;;
Fredi;Mets;M;1975-09-26;2019-08-22;;;
Tiina;Käärik;N;1929-12-01;0000-00-00;Napi;küla;Võrumaa
Marcos;Pärtel;M;1933-07-07;0000-00-00;Kokaviidika;küla;Viljandimaa
Olga;Parts;N;1985-09-25;0000-00-00;Ratla;küla;Saaremaa
Gabriela;Dmitriev;N;1963-03-09;0000-00-00;Kukepala;küla;Harjumaa
Simona;Miller;N;1943-11-05;1997-01-17;;;
Marcus;Koval;M;2005-02-27;0000-00-00;Tanska;küla;Läänemaa
Kertu;Medvedev;N;1920-05-10;1998-09-26;;;
Victor;Mikelsaar;M;2004-10-02;0000-00-00;Jõgisoo;küla;Järvamaa
Ragne;Valge;N;1907-12-08;0000-00-00;Arkna;küla;Lääne-Virumaa
Taavet;Rohtla;M;1922-02-26;0000-00-00;Allikõnnu;küla;Pärnumaa
Christopher;Järve;M;2015-05-25;2016-05-02;;;
Karl Marten;Saar;M;1970-02-09;2008-07-23;;;
Mihhail;Lipp;M;1978-12-14;1985-04-12;;;
Gerdi;Jermakov;N;1933-12-09;2018-01-11;;;
Kristella;Kissa;N;1902-09-20;2003-11-14;;;
Heinrich;Alekseev;M;2011-12-08;2012-08-02;;;
Natalja;Laks;N;1947-07-04;0000-00-00;Veskitaguse;küla;Harjumaa
Silvia;Lõhmus;N;1934-01-16;2003-06-20;;;
Sirje;Hein;N;1973-06-06;0000-00-00;Imukvere;küla;Jõgevamaa
Anneli;Orlov;N;1908-11-09;0000-00-00;Alekvere;küla;Lääne-Virumaa
Hardi;Tammet;M;1966-11-14;2004-04-04;;;
Maik;Vlassov;M;1971-03-04;1996-07-07;;;
Tiina;Filatov;N;1976-01-28;0000-00-00;Kibena;küla;Valgamaa
Artem;Toome;M;1981-12-08;0000-00-00;Toomja;küla;Raplamaa
Kendra;Voronin;N;1913-09-26;1969-11-14;;;
Eva Maria;Borissov;N;1910-10-26;0000-00-00;Kiideva;küla;Läänemaa
Dmitri;Tamme;M;1908-02-28;1909-02-08;;;
Svetlana;Villemson;N;1978-05-24;0000-00-00;Pähkla;küla;Saaremaa
Tiina;Baranov;N;1923-01-04;0000-00-00;Mägestiku;küla;Valgamaa
Katharina;Männiste;N;1936-12-28;1958-04-24;;;
Karl Oskar;Merila;M;1953-11-27;1979-05-29;;;
Hanna-Liina;Salumäe;N;1963-05-25;0000-00-00;Villakvere;küla;Lääne-Virumaa
Terje;Ignatjev;N;1974-05-01;0000-00-00;Kõmmusselja;küla;Hiiumaa
Keijo;Erm;M;1946-07-07;0000-00-00;Vatku;küla;Lääne-Virumaa
Mairo;Mikelsaar;M;1939-11-09;0000-00-00;Vahi;küla;Tartumaa
Hanna;Gontšarov;N;2014-08-05;0000-00-00;Veere;küla;Saaremaa
Keili;Heinsalu;N;2000-07-03;0000-00-00;Kibena;küla;Valgamaa
Ronan;Reinke;M;1914-02-12;1934-03-04;;;
Brita;Kulikov;N;1985-04-10;2018-06-06;;;
Lotta;Lehtmets;N;1961-01-27;0000-00-00;Kobela;alevik;Võrumaa
Georg;Lomp;M;1902-01-02;0000-00-00;Sõmerpalu;küla;Võrumaa
Tõnu;Maasik;M;1980-10-15;2005-10-24;;;
German;Jegorov;M;1973-05-23;0000-00-00;Metsküla;küla;Saaremaa
Kaja;Popov;N;1973-08-30;1999-03-14;;;
Elis;Salumäe;N;1941-08-19;0000-00-00;Sandisuu;küla;Võrumaa
Ardi;Toome;M;2007-07-13;2013-11-10;;;
Katariina;Jõgi;N;1949-08-17;1974-12-01;;;
Sarah;Korol;N;1995-06-01;0000-00-00;Jäärja;küla;Pärnumaa
Antti;Viik;M;1905-12-01;1952-09-22;;;
Uku;Laas;M;2009-07-27;2014-04-05;;;
Kenneth;Jänes;M;1936-05-10;1957-10-22;;;
Tamara;Krõlov;N;2002-07-03;2005-10-25;;;
Oliivia;Liivak;N;1972-04-19;0000-00-00;Laartsa;küla;Hiiumaa
Jaanek;Suur;M;2005-04-12;0000-00-00;Seliste;küla;Pärnumaa
Anton;Aleksandrov;M;1985-11-04;0000-00-00;Russalu;küla;Raplamaa
Karoline;Pettai;N;1972-06-30;1991-06-14;;;
Matti;Kask;M;1942-08-29;0000-00-00;Vana-Jõgeva;küla;Jõgevamaa
Vlad;Erm;M;1980-11-28;2010-09-23;;;
Maxim;Koitla;M;1983-06-14;2010-10-16;;;
Sören;Loorits;M;1994-04-29;0000-00-00;Tännapere;küla;Järvamaa
Betti;Jarvis;N;1906-04-20;2000-02-09;;;
Jüri;Rand;M;1900-09-26;0000-00-00;Karla;küla;Harjumaa
Alice;Rebane;N;1951-05-22;2018-11-22;;;
Karl Martin;Kaljuste;M;1986-07-17;0000-00-00;Lööne;küla;Saaremaa
Ingel;Kelder;N;1979-01-04;2013-12-03;;;
Lauri;Pärn;M;1977-11-02;0000-00-00;Tiido;küla;Põlvamaa
Aarne;Kisseljov;M;1981-10-16;0000-00-00;Nedsaja;küla;Põlvamaa
Leonard;Sulg;M;1963-10-16;1970-05-02;;;
Janete;Säde;N;1953-10-06;1975-08-24;;;
Hanna;Sander;N;1913-04-30;0000-00-00;Viimsi;alevik;Harjumaa
Viola;Sidorov;N;1970-07-23;2006-11-29;;;
Triinu-Liis;Lehtmets;N;1924-06-30;2003-07-17;;;
Riivo;Mikk;M;2015-03-01;0000-00-00;Ao;küla;Lääne-Virumaa
Karmen;Miller;N;1981-10-24;0000-00-00;Laatre;küla;Viljandimaa
Anastasija;Kont;N;1951-12-21;1953-10-31;;;
Gabriel;Koort;M;1998-03-02;0000-00-00;Mujaste;küla;Saaremaa
Anette;Vaht;N;1916-12-19;0000-00-00;Kahala;küla;Järvamaa
Elena;Koit;N;1979-12-06;2006-07-28;;;
Katariina;Vinogradov;N;1931-03-10;1968-01-09;;;
Tarvo;Ploom;M;1908-03-04;1965-08-27;;;
Ruth;Sepp;N;1914-03-18;0000-00-00;Austla;küla;Saaremaa
Anet;Kangur;N;1914-12-02;1957-08-15;;;
Caroline;Viira;N;1928-11-14;1946-12-09;;;
Rait;Unt;M;1931-09-24;1956-03-01;;;
Anna-Maria;Taal;N;1920-03-20;0000-00-00;Tammistu;küla;Hiiumaa
Kadri-Liis;Zaitsev;N;1987-02-12;2008-07-02;;;
Daniel;Uibo;M;1927-01-12;1968-03-19;;;
Martti;Kuusik;M;1906-08-28;1909-03-01;;;
Erika;Kisseljov;N;1961-01-30;1999-09-25;;;
Jako;Karu;M;1932-01-24;0000-00-00;Niguli;küla;Viljandimaa
Elari;Püvi;M;1942-07-21;0000-00-00;Metsara;küla;Saaremaa
Gerda;Hansen;N;1972-04-02;0000-00-00;Tuulevälja;küla;Harjumaa
Sigrit;Semenov;N;1952-09-11;1964-03-31;;;
Eliise;Jegorov;N;2018-10-04;0000-00-00;Elistvere;küla;Jõgevamaa
Emily;Männik;N;1924-09-26;0000-00-00;Sultsi;küla;Viljandimaa
Edvard;Remmel;M;1900-06-17;0000-00-00;Pudivere;küla;Lääne-Virumaa
Valter;Hallik;M;1934-12-17;0000-00-00;Saare;küla;Läänemaa
Andi;Talts;M;1909-12-14;1989-12-01;;;
Rita;Aus;N;2015-09-25;2017-09-07;;;
Kait;Palm;M;1954-03-16;2008-10-16;;;
Cevin;Kolesnik;M;2009-03-16;2017-04-22;;;
Ron;Jänes;M;1914-12-22;0000-00-00;Vahenurme;küla;Pärnumaa
Kunnar;Abramov;M;1983-11-28;1988-03-24;;;
Karl Mihkel;Herodes;M;1907-05-15;0000-00-00;Päinurme;küla;Järvamaa
Alvar;Õun;M;1909-06-13;0000-00-00;Jõiste;küla;Saaremaa
Alfred;Tammik;M;1916-11-08;0000-00-00;Variku;küla;Läänemaa
Gunnar;Kotkas;M;1971-09-07;0000-00-00;Vilumäe;küla;Harjumaa
Miko;Erm;M;1959-02-08;1999-07-11;;;
Edvard;Markus;M;1908-09-27;1959-12-23;;;
Angeelika;Vasiliev;N;2008-09-06;2015-09-04;;;
Jarko;Borissov;M;1980-11-02;2013-10-21;;;
Kreete;Laine;N;1920-06-06;0000-00-00;Puide;küla;Valgamaa
Toni;Teras;M;1929-09-12;0000-00-00;Harjuküla;küla;Võrumaa
Kristiine;Mikelsaar;N;1955-08-29;2003-06-04;;;
Anneli;Hein;N;1946-12-02;0000-00-00;Järni;küla;Lääne-Virumaa
Stiina;Laur;N;1944-05-15;1966-11-13;;;
Marina;Kasemaa;N;1991-03-02;0000-00-00;Reinumurru;küla;Pärnumaa
Ken;Kivi;M;1918-03-14;1941-03-22;;;
Gervin;Jänes;M;1970-02-06;2008-04-01;;;
Kenert;Liblik;M;1935-01-30;0000-00-00;Võnnu;küla;Läänemaa
Andrey;Allik;M;1941-03-13;1978-06-08;;;
Hans;Novikov;M;1977-06-09;1987-11-10;;;
Taavet;Suvi;M;1943-07-24;1945-03-30;;;
Gerly;Tooming;N;1957-01-26;2003-03-02;;;
Revo;Aasmäe;M;1904-05-18;1937-01-27;;;
Taavi;Karro;M;1943-09-28;0000-00-00;Arvila;küla;Ida-Virumaa
Ines;Lõhmus;N;2004-08-12;0000-00-00;Ojasoo;küla;Harjumaa
Elvira;Kool;N;1912-04-10;0000-00-00;Rannaküla;küla;Tartumaa
Eva-Liisa;Toots;N;2015-06-22;2016-01-29;;;
Kärt;Heinsoo;N;1912-08-17;2006-04-24;;;
Patricia;Moor;N;1958-03-10;1989-06-02;;;
Anatoli;Erm;M;1908-06-23;1950-04-13;;;
Lija;Kokk;N;2008-09-29;2019-11-08;;;
Egert;Romanov;M;1939-02-15;0000-00-00;Puhatu;küla;Ida-Virumaa
Anna-Liisa;Pettai;N;1924-06-18;1986-02-08;;;
Arno;Friedman;M;1941-06-27;1975-03-02;;;
Sofja;Suits;N;1908-07-01;1973-11-09;;;
Carmen;Veski;N;1995-01-06;0000-00-00;Viidike;küla;Tartumaa
Aron;Nurm;M;2010-10-18;2019-04-14;;;
Eve;Frolov;N;1942-11-02;1988-07-31;;;
Ketlin;Kallaste;N;1991-07-16;0000-00-00;Borrby;küla;Läänemaa
Jarko;Luiga;M;1938-09-08;1997-01-26;;;
Helene;Vain;N;1932-02-07;2007-12-14;;;
Andrus;Pettai;M;1954-05-04;1983-01-31;;;
Erki;Kissa;M;1938-08-07;0000-00-00;Vanamõisa;küla;Valgamaa
Carol;Danilov;N;1960-11-14;0000-00-00;Jaakna;küla;Läänemaa
Ago;Kuusk;M;1938-05-20;1944-12-16;;;
Asko;Gerassimov;M;1951-08-28;0000-00-00;Ürjaste;küla;Harjumaa
Aveli;Kasemaa;N;1985-04-06;1986-09-29;;;
Keitlin;Zahharov;N;2012-08-26;2013-10-09;;;
Anastasiya;Võsu;N;1966-01-03;1995-11-11;;;
Brit;Koit;N;1951-08-05;0000-00-00;Jõesuu;küla;Pärnumaa
Karina;Kaur;N;2018-01-21;0000-00-00;Ristemäe;küla;Võrumaa
Natalija;Kirsipuu;N;1915-09-23;1950-10-05;;;
Johannes;Sirel;M;1921-04-30;1944-09-18;;;
Simmo;Egorov;M;2005-01-02;2019-03-06;;;
Remy;Gerassimov;M;1914-03-30;0000-00-00;Metsaküla;küla;Pärnumaa
Violetta;Juhanson;N;1939-07-10;0000-00-00;Oisu;alevik;Järvamaa
Robert;Müürsepp;M;1908-05-31;1918-07-24;;;
Liilia;Raudsepp;N;2003-03-24;0000-00-00;Kalana;küla;Hiiumaa
Tauri;Tarassov;M;1913-08-18;0000-00-00;Ülenurme;alevik;Tartumaa
Roomet;Antonov;M;2002-12-16;0000-00-00;Ohukotsu;küla;Raplamaa
Liia;Ojaste;N;2004-12-09;0000-00-00;Rausvere;küla;Ida-Virumaa
Üllar;Pavlov;M;1957-10-02;0000-00-00;Hendrikumõisa;küla;Viljandimaa
Getrin;Aakre;N;1994-12-17;2016-02-18;;;
Grethel;Piho;N;1961-08-03;0000-00-00;Viitina;küla;Võrumaa
Laura Liisa;Raudsepp;N;1999-07-27;2005-12-24;;;
Sven Erik;Vlassov;M;1987-10-02;2019-11-22;;;
Karl-Markus;Rand;M;1936-05-15;1964-09-01;;;
Ellen;Jaanus;N;1990-03-25;0000-00-00;Mõisaaseme;küla;Raplamaa
Markos;Suur;M;2006-01-08;0000-00-00;Leedri;küla;Saaremaa
Adelina;Tiits;N;1937-10-11;0000-00-00;Viira;küla;Saaremaa
Daisi;Randoja;N;1983-09-23;0000-00-00;Lehtmetsa;küla;Pärnumaa
Kätrin;Koger;N;2004-09-28;2015-03-17;;;
Kaili;Salumäe;N;1992-10-13;2008-10-25;;;
Ken;Kruglov;M;2008-03-16;2017-08-27;;;
Tormi;Uustalu;M;1950-02-04;1969-04-10;;;
Kaire;Erm;N;1986-07-25;0000-00-00;Ihamaru;küla;Põlvamaa
Anna-Liis;Jakovlev;N;1951-11-04;0000-00-00;Öötla;küla;Järvamaa
Heleri;Ots;N;1931-12-03;0000-00-00;Sakla;küla;Saaremaa
Rein;Luiga;M;2007-09-27;2008-04-28;;;
Gerdo;Gontšarov;M;1994-05-19;0000-00-00;Soinaste;küla;Tartumaa
Laura Liisa;Makarov;N;1965-11-26;0000-00-00;Kloostri;küla;Läänemaa
Renno;Roosileht;M;1990-05-15;0000-00-00;Neeme;küla;Harjumaa
Vera;Grigorieva;N;1940-07-12;1987-01-31;;;
Ivika;Aasa;N;1916-12-08;1926-03-03;;;
Amina;Allik;N;1994-12-19;2013-06-06;;;
Henri;Uustalu;M;1909-05-22;1981-03-23;;;
Hanna-Liina;Meier;N;2008-08-05;2014-02-28;;;
Keimo;Koval;M;1910-12-30;0000-00-00;Mannare;küla;Pärnumaa
Kirill;Kurg;M;1926-08-11;1948-05-31;;;
Endrik;Uustalu;M;1982-02-02;2013-09-06;;;
Olga;Karro;N;1971-06-28;1997-04-14;;;
Kaido;Sarap;M;1902-03-28;0000-00-00;Kääraku;küla;Võrumaa
Eleanora;Randmaa;N;1984-09-28;0000-00-00;Sutu;küla;Saaremaa
Andrei;Merisaar;M;1928-04-17;1982-02-20;;;
Liana;Jaanus;N;1923-04-23;1991-10-23;;;
Triini;Kasemets;N;2015-07-15;0000-00-00;Öötla;küla;Järvamaa
Laura-Liisa;Juhkam;N;1931-09-17;2006-04-18;;;
Izabella;Jaanus;N;1921-04-07;1970-06-09;;;
Markkus;Ilves;M;1935-01-21;1945-12-03;;;
Antti;Järve;M;1978-11-23;2016-06-14;;;
Tatiana;Järvekülg;N;2015-07-04;0000-00-00;Tealama;küla;Jõgevamaa
Keiri;Krõlov;N;1948-07-03;1980-03-15;;;
Ketlin;Hansen;N;1998-06-12;2015-03-11;;;
Julius;Jürgenson;M;1935-11-15;1978-05-15;;;
Maidu;Sepp;M;1906-12-16;1978-08-13;;;
Marko;Leis;M;1984-10-12;0000-00-00;Roostoja;küla;Ida-Virumaa
Keio;Sidorov;M;1932-06-19;1938-02-19;;;
Kätlin;Teras;N;1903-05-18;1969-05-20;;;
Karolina;Orav;N;1990-12-08;0000-00-00;Kikivere;küla;Tartumaa
Hanna Maria;Trofimov;N;1965-08-30;0000-00-00;Alliklepa;küla;Harjumaa
Roomet;Mikk;M;1999-01-29;0000-00-00;Pehka;küla;Lääne-Virumaa
Albina;Ševtšenko;N;1921-05-01;1957-09-15;;;
Triinu;Štšerbakov;N;1998-10-14;2010-11-05;;;
Brittany;Jermakov;N;2011-03-24;2019-12-16;;;
Geidy;Tomingas;N;1904-03-10;1989-07-06;;;
Risto;Gavrilov;M;1921-09-01;0000-00-00;Lehtma;küla;Hiiumaa
Taavi;Juhkam;M;1911-06-16;1973-02-11;;;
Pärtel;Rätsep;M;1925-10-07;0000-00-00;Väimela;alevik;Võrumaa
Anžela;Susi;N;1967-12-03;2009-08-01;;;
Sören;Mihhailov;M;1981-07-16;1989-06-05;;;
Karet;Mäesalu;N;2010-04-23;0000-00-00;Tori;küla;Järvamaa
Meeri;Müür;N;1921-12-26;0000-00-00;Võhmanõmme;küla;Jõgevamaa
Tanel;Tilk;M;1975-07-10;0000-00-00;Kaasiksaare;küla;Lääne-Virumaa
Viivika;Kärner;N;1914-03-01;0000-00-00;Tammneeme;küla;Harjumaa
Paul;Jarvis;M;1946-06-02;0000-00-00;Holdi;küla;Võrumaa
Kai;Nurm;N;1977-12-22;0000-00-00;Nautrasi;küla;Jõgevamaa
Eleonora;Hansen;N;1987-09-15;0000-00-00;Tahkuna;küla;Hiiumaa
Evelin;Kattai;N;1988-05-06;2016-10-01;;;
Klim;Safronov;M;2005-07-05;2014-02-12;;;
Miina;Safronov;N;1956-09-30;0000-00-00;Juusa;küla;Võrumaa
Johanna;Kivimäe;N;1951-03-25;1990-04-29;;;
Jennifer;Klavan;N;1905-10-23;0000-00-00;Tuka;küla;Läänemaa
Karita;Gross;N;1962-07-30;0000-00-00;Kopli;küla;Ida-Virumaa
Helen;Pihlak;N;2005-09-20;2007-08-13;;;
Galina;Treial;N;1969-07-12;1970-08-17;;;
Liliana;Lääne;N;1984-02-10;2005-10-19;;;
Angelina;Davõdov;N;1930-08-06;0000-00-00;Jõuga;küla;Ida-Virumaa
Vivian;Vinogradov;N;1987-06-27;2009-11-09;;;
Andrias;Fjodorov;M;1987-09-20;1990-06-10;;;
Käti;Väli;N;1941-01-19;1943-11-02;;;
Ahto;Pärn;M;1988-05-22;1991-12-25;;;
Karl Jakob;Teras;M;1971-09-24;0000-00-00;Nääri;küla;Raplamaa
Natalja;Salumets;N;1924-05-06;1943-05-30;;;
Jaanek;Žuravljov;M;1929-04-16;2005-02-16;;;
Karl Mihkel;Ott;M;1910-09-11;0000-00-00;Valguta;küla;Tartumaa
Mia;Makarov;N;1903-08-15;0000-00-00;Helbi;küla;Võrumaa
Juhan;Anderson;M;1999-12-09;2003-06-04;;;
Harri;Mitt;M;2017-07-01;2019-01-27;;;
Kaarel;Holm;M;1968-07-23;0000-00-00;Hertu;küla;Raplamaa
Reimo;Dmitriev;M;1999-05-14;0000-00-00;Petaaluse;küla;Läänemaa
Moonika;Koit;N;1944-03-29;0000-00-00;Kuusiku;küla;Hiiumaa
Keith;Mandel;M;1992-03-18;0000-00-00;Tuhalaane;küla;Viljandimaa
Anet;Kiil;N;1964-12-15;1995-06-28;;;
Nora;Saks;N;1904-03-19;0000-00-00;Samma;küla;Lääne-Virumaa
Ilja;Treier;M;1909-05-16;1998-06-11;;;
Hans-Kristjan;Schmidt;M;1966-04-15;1973-07-20;;;
Rünno;Sergejev;M;1943-01-11;0000-00-00;Tudulinna;alevik;Ida-Virumaa
Riko;Kiik;M;1900-03-16;1998-07-01;;;
